,predicted_points
ferrari,67.42031145977423
mclaren,65.42284334393248
mercedes,52.235368159971465
red-bull,43.27513442175073
williams,22.90325343901809
aston-martin,14.56914215967656
rb,10.069106904629448
haas,7.754452973530285
alpine,6.759764051006501
kick-sauber,5.315757760425757
