,predicted_points
mercedes,63.64285287251629
mclaren,63.03649067290761
ferrari,59.88393900445812
red-bull,37.91526207434464
haas,19.37497470098349
alpine,11.304720471723991
aston-martin,10.340462277463448
williams,9.889802180732936
rb,8.470241854264854
kick-sauber,7.730049199664344
