,a,b,scale
0,1.233380983800732,11.613124918678253,14.510087237687184
1,0.9408778495617158,4.889729814042714,21.242876474956816
2,1.4739984926066048,8.641395591717242,24.28781795600458
3,2.156365446328642,19.209599459550944,36.959210439856925
4,2.3010073290531565,19.654915993817397,49.90216499036575
5,2.6915555099381336,12.203525883145863,30.57163786405198
6,3.219694744876637,13.39523421913292,34.51416872876615
7,3.662632503491401,11.568476522507455,31.179682044890058
8,3.5742192524597325,7.064533993226808,22.719987705661357
9,3.5891798342928007,5.883725802248809,23.557571732368558
10,2.5941457117706817,2.646447928538649,18.527199647561233
11,3.251117829431963,2.9001808202968578,18.399014406317647
12,4.343571673946618,4.366350277494676,20.883643261041
13,9.193558518908713,30.726855861931874,49.662817730398785
14,3.2529660875530064,2.43118079610873,19.414461821934317
15,3.459685983779135,2.115372187717849,19.40405334540767
16,3.269239561287211,38.45461254259405,167.9689052321628
17,3.920172172217119,1.9450036559038872,19.325989777566726
18,3.25719600495744,1.5805343279276434,19.206586205114576
19,2.5509222470145234,1.187661316787884,19.081513324112386
